Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
31-MAR-2023|ASSA|EQUITY|3566394648|755|39198301|1822116777|34948881|0|1454282431|60910424|1936047|2991600|400100|3416784561|0|979107|641200|39135685|1820000|9585575|11913432|0|85535088|149610087
31-MAR-2023|ATAP|EQUITY|1250000000|58|0|59500000|0|0|95790000|0|0|0|0|155290000|0|94708900|0|100|1000|0|0|0|0|94710000
31-MAR-2023|ATIC|EQUITY|2315361355|360|0|797803418|0|0|495438216|0|0|0|0|1293241634|0|863645841|0|33400|963500|0|25000|0|0|864667741
31-MAR-2023|ATPK|EQUITY|5760245414|194|334100|3695100|18900|0|250316994|0|500|0|7733000|262098594|0|3651000|3400000|366222000|1161500|0|516347807|0|99759129|990541436
31-MAR-2023|AUTO|EQUITY|4819733000|1690|9030100|59292587|187275|0|365960643|33565950|9264465|2500|727275|478030795|0|314171830|6416566|62568672|580675|62217156|20728148|3586200|14381901|484651148
31-MAR-2023|AVIA|EQUITY|61953555600|595|8730300|20886383900|20304400|0|455061872|53371949|5725790|10465000|139200|21440182411|117359879|4779169470|379105172|241405847|238700|6690356975|250168467|11239400|1898531079|14367574989
31-MAR-2023|AXIO|EQUITY|5840126500|129|0|1888649300|115946200|0|843938500|0|0|0|140000|2848674000|0|0|0|871800|820700|0|0|0|0|1692500
31-MAR-2023|AYLS|EQUITY|853423236|71|0|594777100|0|0|257432036|0|0|0|0|852209136|0|0|0|583100|431000|0|200000|0|0|1214100
31-MAR-2023|BABP|EQUITY|33759090803|85|117046900|17497523621|8825000|0|4998388342|125268676|23465580|3231100|24|22773749243|0|9125022319|1961100|116630700|3035100|50469000|68883933|0|1281673522|10647675674
31-MAR-2023|BACA|EQUITY|19953024885|134|350000000|16192625907|0|12686999|2474409833|416072413|7935134|2103300|37500|19455871086|0|1042800|766600|11233000|4011400|26575000|23126490|0|230868260|297623550
31-MAR-2023|BAJA|EQUITY|1800000000|137|0|88000000|0|0|309489900|0|0|0|0|397489900|0|619300|0|1525000|49600|315200|1000|0|0|2510100
31-MAR-2023|BALI|EQUITY|3934592500|770|68436102|2627302560|0|0|430324900|0|129052538|0|0|3255116100|0|100000000|0|67506000|1265900|0|9500|0|68625000|237406400
31-MAR-2023|BANK|EQUITY|14655627917|1200|1306211900|4693149314|6412700|109580600|344788777|339929500|4690032|0|0|6804762823|5240000|13382500|15979300|1966097|223000|76730500|238409|0|56859542|170619348
31-MAR-2023|BAPA|EQUITY|661784520|81|0|435657800|0|0|153286903|0|65518817|0|0|654463520|0|1032500|0|575100|3980300|0|1728100|0|0|7316000
31-MAR-2023|BAPI|EQUITY|5591980103|50|38067999|10742709|1114534|0|1378300271|202237729|11872945|1064679|7165200|1650566066|0|6939300|0|100|20251637|0|5000|0|0|27196037
31-MAR-2023|BATA|EQUITY|1300000000|600|0|0|0|50000|40295570|0|0|5800|0|40351370|0|0|0|72571700|3606200|36207500|3096500|0|63954200|179436100
31-MAR-2023|BAUT|EQUITY|4800062188|50|0|752475700|0|0|1444959828|0|160|41000|58000|2197534688|0|2600000000|0|900|2526600|0|0|0|0|2602527500
31-MAR-2023|BAYU|EQUITY|353220780|945|40618083|113642168|0|27384|13948709|19016300|10912|0|0|187263556|0|30618000|0|123238414|1041|0|0|0|4250830|158108285
31-MAR-2023|BBCA|EQUITY|123275050000|8750|1889377295|78085560|347075950|1420000|4580033888|1318644073|59554519|62073900|1464200|8337729385|620095387|2086665188|5981949854|3461718795|328829410|18630881371|1459809956|643100505|10902916269|44115966735
